horizon,n_origins,sdc_state_ape,m2026_state_ape,sdc_county_mape,m2026_county_mape,winner_state,winner_county
1,4,0.9856,1.0425,1.1516,1.1294,sdc_2024,m2026
2,4,1.5988,1.6938,1.9425,1.9522,sdc_2024,tie
3,4,2.3018,2.3962,3.0823,3.1245,sdc_2024,sdc_2024
4,4,3.581,3.5691,4.2414,4.3089,m2026,sdc_2024
5,3,6.5798,6.6217,6.6901,6.5788,sdc_2024,m2026
6,3,7.2793,7.5,7.6701,7.6166,sdc_2024,m2026
7,3,7.8714,8.2638,8.5522,8.4628,sdc_2024,m2026
8,3,8.882,9.4414,9.5749,9.4776,sdc_2024,m2026
9,3,10.1322,10.8531,10.6081,10.5574,sdc_2024,m2026
10,2,15.2398,17.1034,13.0934,12.551,sdc_2024,m2026
11,2,16.2876,18.3605,14.1062,13.5559,sdc_2024,m2026
12,2,16.6623,18.9698,14.6855,14.1412,sdc_2024,m2026
13,2,17.307,19.853,15.2811,14.6857,sdc_2024,m2026
14,2,18.0566,20.8489,15.9814,15.3448,sdc_2024,m2026
15,1,22.293,25.2701,18.3967,17.699,sdc_2024,m2026
16,1,22.5777,25.7008,19.052,18.3813,sdc_2024,m2026
17,1,23.2751,26.5374,19.8984,19.244,sdc_2024,m2026
18,1,24.4391,27.829,21.0163,20.3487,sdc_2024,m2026
19,1,25.5359,29.0633,22.0939,21.5094,sdc_2024,m2026
