horizon,method,n_origins,mean_state_ape,mean_county_mape,mean_state_mpe,mean_county_mpe
1,sdc_2024,4,0.9856,1.1516,-0.7088,-0.3666
2,sdc_2024,4,1.5988,1.9425,-1.3141,-0.7731
3,sdc_2024,4,2.3018,3.0823,-2.3018,-1.499
4,sdc_2024,4,3.581,4.2414,-3.581,-2.4338
5,sdc_2024,3,6.5798,6.6901,-6.5798,-4.2134
6,sdc_2024,3,7.2793,7.6701,-7.2793,-4.7361
7,sdc_2024,3,7.8714,8.5522,-7.8714,-5.2821
8,sdc_2024,3,8.882,9.5749,-8.882,-6.1597
9,sdc_2024,3,10.1322,10.6081,-10.1322,-7.0978
10,sdc_2024,2,15.2398,13.0934,-15.2398,-12.2204
11,sdc_2024,2,16.2876,14.1062,-16.2876,-12.8918
12,sdc_2024,2,16.6623,14.6855,-16.6623,-13.2528
13,sdc_2024,2,17.307,15.2811,-17.307,-13.6862
14,sdc_2024,2,18.0566,15.9814,-18.0566,-14.3229
15,sdc_2024,1,22.293,18.3967,-22.293,-16.7593
16,sdc_2024,1,22.5777,19.052,-22.5777,-16.8987
17,sdc_2024,1,23.2751,19.8984,-23.2751,-17.5225
18,sdc_2024,1,24.4391,21.0163,-24.4391,-18.4117
19,sdc_2024,1,25.5359,22.0939,-25.5359,-19.3886
1,m2026,4,1.0425,1.1294,-0.7437,-0.31
2,m2026,4,1.6938,1.9522,-1.356,-0.6081
3,m2026,4,2.3962,3.1245,-2.3262,-1.1768
4,m2026,4,3.5691,4.3089,-3.5691,-1.9118
5,m2026,3,6.6217,6.5788,-6.6217,-3.0809
6,m2026,3,7.5,7.6166,-7.5,-3.5216
7,m2026,3,8.2638,8.4628,-8.2638,-3.9529
8,m2026,3,9.4414,9.4776,-9.4414,-4.6843
9,m2026,3,10.8531,10.5574,-10.8531,-5.4522
10,m2026,2,17.1034,12.551,-17.1034,-11.4529
11,m2026,2,18.3605,13.5559,-18.3605,-12.0759
12,m2026,2,18.9698,14.1412,-18.9698,-12.3726
13,m2026,2,19.853,14.6857,-19.853,-12.7266
14,m2026,2,20.8489,15.3448,-20.8489,-13.2716
15,m2026,1,25.2701,17.699,-25.2701,-15.5732
16,m2026,1,25.7008,18.3813,-25.7008,-15.5489
17,m2026,1,26.5374,19.244,-26.5374,-15.9887
18,m2026,1,27.829,20.3487,-27.829,-16.6837
19,m2026,1,29.0633,21.5094,-29.0633,-17.4472
