origin_year,validation_year,horizon,sdc_state_pct_error,m2026_state_pct_error,sdc_county_mape,m2026_county_mape,both_struggle
2005,2010,5,-6.6668,-7.4912,5.0287,4.7625,True
2005,2015,10,-16.4904,-18.3521,14.5916,13.8922,True
2005,2020,15,-22.293,-25.2701,18.3968,17.6992,True
2005,2024,19,-25.536,-29.0633,22.0941,21.5092,True
2010,2015,5,-9.241,-9.6892,8.6459,7.967,True
2010,2020,10,-13.9892,-15.8548,11.5952,11.2098,True
2010,2024,14,-16.2445,-19.0331,14.3594,13.8282,True
2015,2020,5,-3.8316,-2.6846,6.396,7.0068,False
2015,2024,9,-4.3826,-3.2563,8.6014,9.7146,False
2020,2024,4,-0.5784,-0.3193,2.7513,2.8245,False
