year,intl_migration,vintage,vintage_period
2000,258,2009,Vintage 2009 (2000-2009)
2001,651,2009,Vintage 2009 (2000-2009)
2002,264,2009,Vintage 2009 (2000-2009)
2003,-545,2009,Vintage 2009 (2000-2009)
2004,1025,2009,Vintage 2009 (2000-2009)
2005,535,2009,Vintage 2009 (2000-2009)
2006,815,2009,Vintage 2009 (2000-2009)
2007,461,2009,Vintage 2009 (2000-2009)
2008,583,2009,Vintage 2009 (2000-2009)
2009,521,2009,Vintage 2009 (2000-2009)
2010,468,2020,Vintage 2020 (2010-2019)
2011,1209,2020,Vintage 2020 (2010-2019)
2012,1295,2020,Vintage 2020 (2010-2019)
2013,1254,2020,Vintage 2020 (2010-2019)
2014,961,2020,Vintage 2020 (2010-2019)
2015,2247,2020,Vintage 2020 (2010-2019)
2016,1589,2020,Vintage 2020 (2010-2019)
2017,2875,2020,Vintage 2020 (2010-2019)
2018,1247,2020,Vintage 2020 (2010-2019)
2019,634,2020,Vintage 2020 (2010-2019)
2020,30,2024,Vintage 2024 (2020-2024)
2021,453,2024,Vintage 2024 (2020-2024)
2022,3287,2024,Vintage 2024 (2020-2024)
2023,4269,2024,Vintage 2024 (2020-2024)
2024,5126,2024,Vintage 2024 (2020-2024)
