state,vintage,n_years,mean_intl_mig,std_intl_mig,min_intl_mig,max_intl_mig,mean_state_share_pct,std_state_share_pct
ND,2009,10,456.8,421.02383147117297,-545,1025,0.051635101424074445,0.04651102854460916
ND,2020,10,1377.9,719.8921910026992,468,2875,0.176120031283785,0.06409809989435124
ND,2024,5,2633.0,2282.9405379904224,30,5126,0.16709788421296556,0.030864969636802835
SD,2009,10,654.5,238.07573491550028,231,909,0.07275459806691904,0.017364051536388755
SD,2020,10,1711.5,1242.8440726369856,198,3846,0.2077356676899103,0.13358590826407005
SD,2024,5,1333.0,904.8209767683329,64,2570,0.17633889619863558,0.12602134950462365
MT,2009,10,304.2,216.10172501753786,-190,570,0.03351755990640608,0.022113224602680268
MT,2020,10,885.8,451.6544401789197,385,1862,0.12326527522656161,0.06820918289639423
MT,2024,5,524.4,356.0334253971107,43,989,0.09971991585873284,0.09617756987661114
WY,2009,10,327.8,214.46771318778966,-144,613,0.036265617233579836,0.021584305823151906
WY,2020,10,427.6,357.5118335259843,-127,860,0.058193226602183165,0.04453380380390865
WY,2024,5,605.6,551.2556575673397,18,1285,0.0501624532556459,0.023285551942923872
