year,vintage,nd_intl_mig,us_intl_mig,nd_share_pct
2000,2009,258,319226,0.08082048454699806
2001,2009,651,1200535,0.05422582431999067
2002,2009,264,1078014,0.024489477873200164
2003,2009,-545,822079,-0.06629533171386205
2004,2009,1025,985807,0.10397572750041337
2005,2009,535,947844,0.05644388739075207
2006,2009,815,1006408,0.08098107328240634
2007,2009,461,866397,0.053208863834939404
2008,2009,583,862955,0.06755856330863139
2009,2009,521,854905,0.06094244389727514
2010,2020,468,179893,0.2601546474848938
2011,2020,1209,795295,0.15201906210902874
2012,2020,1295,858736,0.15080304074826256
2013,2020,1254,849728,0.14757663628831816
2014,2020,961,945635,0.10162483410618262
2015,2020,2247,1060115,0.21195813661725377
2016,2020,1589,1065017,0.14919949634606772
2017,2020,2875,948392,0.30314469122472565
2018,2020,1247,719871,0.17322548067639898
2019,2020,634,568639,0.11149428723671785
2020,2024,30,19885,0.15086748805632386
2021,2024,453,376004,0.12047744172934331
2022,2024,3287,1693535,0.19409105805312554
2023,2024,4269,2294299,0.18606990631996964
2024,2024,5126,2786119,0.1839835269060654
